2020-07-21 00:06:49.966  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount100increment created bet with !bet white 200
2020-07-21 00:06:49.968  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount150increment: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.968  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount150increment created bet with !bet white 200
2020-07-21 00:06:49.969  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount10nsquaredincrement: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.970  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount10nsquaredincrement created bet with !bet white 200
2020-07-21 00:06:49.971  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcountbet500ifable: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.971  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcountbet500ifable created bet with !bet white 200
2020-07-21 00:06:49.972  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcountbet1000ifable: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.972  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcountbet1000ifable created bet with !bet white 200
2020-07-21 00:06:49.985  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot datadrivenbot: The leftScore is 358.57382 and the rightScore is 2102.944
2020-07-21 00:06:49.985  WARN 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : The bot datadrivenbot provided a bet under the minimum value
2020-07-21 00:06:49.985  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot datadrivenbot created bet with !bet black 200
2020-07-21 00:06:49.985  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot oddsbot: The leftScore is 683.0 and the rightScore is 2021.0
2020-07-21 00:06:49.985  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot oddsbot created bet with !bet black 200
2020-07-21 00:06:49.985  INFO 19072 --- [        Timer-3] f.botland.bot.ArbitraryBot               : next index is: 1
2020-07-21 00:06:49.985  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot allinrandombot: The leftScore is 0.0 and the rightScore is 1.0
2020-07-21 00:06:49.985  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot allinrandombot created bet with !allin black
2020-07-21 00:06:49.986  INFO 19072 --- [        Timer-3] f.botland.bot.ArbitraryBot               : next index is: 1
2020-07-21 00:06:49.986  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot randomrandombot: The leftScore is 0.0 and the rightScore is 1.0
2020-07-21 00:06:49.986  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot randomrandombot created bet with !bet black 512
2020-07-21 00:06:49.986  INFO 19072 --- [        Timer-3] f.botland.bot.ArbitraryBot               : next index is: 1
2020-07-21 00:06:49.986  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot halfrandombot: The leftScore is 0.0 and the rightScore is 1.0
